,NTA,Count,Male_Prct,Female_Prct,Med_Age,His_Prct,Wht_Prct,Blk_Prct,Asi_Prct,Emp_Prct,Med_Icm,Ins_Prct,Bl_Pvt_Prct,M_Mrg_Prct,F_Mrg_Prct,Bf_Hs_Prct,Af_Hs_Prct,Vtr_Prct,Dis_Prct,Citi_Prct
42,East Concourse-Concourse Village,54874,0.47,0.53,32.3,0.613,0.013999999999999999,0.342,0.013000000000000001,0.084,27883.0,0.84,0.359,0.302,0.24600000000000002,0.389,0.145,0.024,0.14300000000000002,0.353
43,East Elmhurst,11947,0.526,0.474,34.3,0.624,0.049,0.244,0.069,0.057999999999999996,51594.0,0.7390000000000001,0.20600000000000002,0.332,0.359,0.25,0.172,0.026000000000000002,0.076,0.414
44,East Flatbush-Farragut,27851,0.43700000000000006,0.563,39.0,0.057999999999999996,0.018000000000000002,0.8909999999999999,0.015,0.064,50889.0,0.8809999999999999,0.124,0.39899999999999997,0.28300000000000003,0.125,0.225,0.023,0.076,0.652
45,East Flushing,5888,0.49700000000000005,0.503,40.8,0.16,0.177,0.011000000000000001,0.625,0.054000000000000006,55971.0,0.764,0.14800000000000002,0.5539999999999999,0.536,0.21899999999999997,0.28800000000000003,0.023,0.071,0.49700000000000005
46,East Harlem North,74913,0.455,0.545,32.1,0.49700000000000005,0.083,0.353,0.045,0.06,26099.0,0.847,0.371,0.254,0.188,0.292,0.231,0.026000000000000002,0.152,0.36200000000000004
47,East Harlem South,46803,0.47100000000000003,0.529,34.4,0.428,0.195,0.249,0.10300000000000001,0.071,35857.0,0.853,0.26899999999999996,0.28800000000000003,0.25,0.24,0.365,0.021,0.11900000000000001,0.426
48,East New York,92864,0.445,0.555,31.7,0.27,0.018000000000000002,0.6779999999999999,0.021,0.076,32973.0,0.89,0.332,0.327,0.237,0.22,0.129,0.022000000000000002,0.10300000000000001,0.574
49,East New York (Pennsylvania Ave),32238,0.44799999999999995,0.552,28.9,0.281,0.017,0.691,0.006999999999999999,0.095,29527.0,0.86,0.39399999999999996,0.285,0.23399999999999999,0.293,0.09699999999999999,0.021,0.098,0.534
50,East Tremont,40358,0.466,0.534,29.2,0.695,0.016,0.26899999999999996,0.01,0.132,20879.0,0.847,0.45299999999999996,0.26,0.195,0.409,0.107,0.023,0.141,0.38799999999999996
51,East Village,30709,0.496,0.504,32.5,0.10800000000000001,0.674,0.048,0.142,0.038,72665.0,0.903,0.147,0.213,0.19699999999999998,0.067,0.7170000000000001,0.016,0.076,0.39399999999999996
52,East Williamsburg,25573,0.47700000000000004,0.523,34.0,0.319,0.449,0.092,0.12300000000000001,0.057999999999999996,50777.0,0.851,0.20199999999999999,0.35100000000000003,0.293,0.223,0.405,0.023,0.124,0.515
53,Eastchester-Edenwald-Baychester,18589,0.44,0.56,34.2,0.242,0.036000000000000004,0.688,0.016,0.09,50334.0,0.892,0.18,0.376,0.285,0.196,0.215,0.036000000000000004,0.125,0.642
54,Elmhurst,37356,0.52,0.48,36.2,0.44299999999999995,0.063,0.013999999999999999,0.45899999999999996,0.039,47863.0,0.726,0.205,0.43799999999999994,0.455,0.307,0.25,0.013999999999999999,0.07400000000000001,0.419
55,Elmhurst-Maspeth,9325,0.496,0.504,37.1,0.284,0.149,0.008,0.547,0.034,55881.0,0.763,0.141,0.517,0.48100000000000004,0.23800000000000002,0.293,0.024,0.062,0.439
56,Erasmus,25431,0.451,0.5489999999999999,35.6,0.11,0.013999999999999999,0.8420000000000001,0.016,0.09,40681.0,0.823,0.23,0.364,0.27399999999999997,0.191,0.18600000000000003,0.018000000000000002,0.069,0.542
57,Far Rockaway-Bayswater,27629,0.467,0.5329999999999999,32.8,0.278,0.252,0.42,0.028999999999999998,0.06,41916.0,0.865,0.23199999999999998,0.405,0.322,0.29100000000000004,0.212,0.037000000000000005,0.158,0.531
58,Flatbush,52956,0.45399999999999996,0.546,34.4,0.177,0.222,0.475,0.098,0.069,45332.0,0.8370000000000001,0.20600000000000002,0.42700000000000005,0.32899999999999996,0.203,0.303,0.018000000000000002,0.08900000000000001,0.507
59,Flatlands,32400,0.46399999999999997,0.536,37.1,0.079,0.165,0.703,0.037000000000000005,0.066,64519.0,0.905,0.114,0.43700000000000006,0.34700000000000003,0.135,0.28,0.023,0.077,0.6859999999999999
60,Flushing,31114,0.467,0.5329999999999999,43.0,0.151,0.08900000000000001,0.038,0.688,0.048,39840.0,0.7509999999999999,0.23600000000000002,0.556,0.46799999999999997,0.262,0.253,0.013000000000000001,0.095,0.426
61,Fordham South,29259,0.44799999999999995,0.552,28.2,0.708,0.015,0.261,0.008,0.10800000000000001,22662.0,0.7979999999999999,0.474,0.297,0.22,0.414,0.11699999999999999,0.02,0.135,0.305
62,Forest Hills,22561,0.47,0.53,41.9,0.14,0.562,0.027000000000000003,0.249,0.044000000000000004,67881.0,0.9129999999999999,0.102,0.546,0.469,0.073,0.551,0.027000000000000003,0.109,0.721
63,Fort Greene,25569,0.457,0.5429999999999999,34.2,0.215,0.282,0.37799999999999995,0.08800000000000001,0.08800000000000001,61990.0,0.888,0.24100000000000002,0.33899999999999997,0.28,0.18100000000000002,0.478,0.034,0.096,0.564
64,Fresh Meadows-Utopia,4988,0.485,0.515,41.2,0.132,0.319,0.036000000000000004,0.484,0.064,69525.0,0.855,0.129,0.55,0.523,0.122,0.47100000000000003,0.042,0.09,0.647
65,Ft. Totten-Bay Terrace-Clearview,3826,0.47200000000000003,0.528,48.3,0.085,0.677,0.004,0.209,0.059000000000000004,71784.0,0.94,0.07200000000000001,0.584,0.508,0.08800000000000001,0.465,0.069,0.14300000000000002,0.706
66,Georgetown-Marine Park-Bergen Beach-Mill Basin,21237,0.484,0.516,38.8,0.091,0.7020000000000001,0.12300000000000001,0.067,0.061,72158.0,0.9309999999999999,0.077,0.5770000000000001,0.517,0.09,0.37,0.045,0.08,0.7709999999999999
67,Glen Oaks-Floral Park-New Hyde Park,4918,0.45399999999999996,0.546,49.1,0.081,0.491,0.043,0.34600000000000003,0.05,76863.0,0.927,0.075,0.555,0.469,0.09300000000000001,0.42,0.059000000000000004,0.145,0.774
68,Glendale,13482,0.495,0.505,38.1,0.359,0.574,0.009000000000000001,0.047,0.049,64178.0,0.879,0.12,0.491,0.455,0.16399999999999998,0.22899999999999998,0.034,0.08,0.5820000000000001
69,Gramercy,19322,0.444,0.556,34.5,0.07,0.73,0.04,0.128,0.059000000000000004,100900.0,0.9440000000000001,0.092,0.287,0.223,0.028999999999999998,0.787,0.023,0.062,0.508
70,Grasmere-Arrochar-Ft. Wadsworth,7726,0.456,0.544,39.8,0.139,0.654,0.059000000000000004,0.132,0.051,69127.0,0.9179999999999999,0.122,0.5920000000000001,0.49700000000000005,0.141,0.361,0.043,0.12300000000000001,0.609
71,Gravesend,13526,0.45,0.55,41.0,0.139,0.525,0.091,0.22899999999999998,0.063,35550.0,0.8690000000000001,0.237,0.545,0.426,0.23800000000000002,0.258,0.040999999999999995,0.15,0.6759999999999999
